road,chainage,lat,lon,model_type,name,length,condition,id
N1,60.83,23.5056131416,90.9214660218,bridge,BAKRA BOX CULVERT,1.9919999999999973,B,1000246
N1,61.269,23.5055278,90.9257216,link,Km post Missing,1.0,,1000247
N1,62.269,23.5042778,90.9354163,link,Km post Missing,1.0,,1000248
N1,62.278,23.5043333,90.9354719,link,"Z1017, Road to Companiganj",0.009000000000000341,,1000249
N1,62.542,23.5038611,90.9371386,bridge,Box culvert,0.2640000000000029,A,1000250
N1,62.894,23.5028611,90.9412774,bridge,Box culvert,0.35199999999999676,A,1000251
N1,63.098,23.5024077848,90.9432418928,bridge,MATIA BAZER,2.2680000000000007,B,1000252
N1,63.269,23.5020278,90.9448886,link,Km post Missing,0.375,,1000253
N1,63.538,23.5013551924,90.9473844088999,bridge,SONAPUR BOX CULVERT,12.979999999999997,A,1000254
N1,64.269,23.4995274,90.9541667,link,Km post Missing,1.000000000000007,,1000255
N1,65.269,23.4986386,90.9651111,link,Km post Missing,1.0,,1000256
N1,65.543,23.4980552,90.9660278,bridge,Box culvert,0.2740000000000009,A,1000257
N1,65.726,23.4972774,90.9674716,link,Ctg 191 km,0.18299999999999272,,1000258
N1,66.178,23.495896314,90.9715772516,bridge,KARON KHAL SLAB CULVERT,3.0799999999999983,B,1000259
N1,66.726,23.4942219,90.9765549,link,Km post Missing,1.0,,1000260
N1,67.42,23.4951386,90.9829993,bridge,Box culvert,0.6940000000000026,A,1000261
N1,67.726,23.4942497,90.985833,link,Km post Missing,0.3059999999999974,,1000262
N1,68.04,23.4932728146,90.9887200416,bridge,MILL GHAT BOX CULVERT,4.5020000000000095,A,1000263
N1,68.726,23.4911386,90.9950274,link,Km post Missing,1.0,,1000264
N1,69.616,23.4894441,91.0033056,link,Road to Debiduar (Z1008),0.8900000000000006,,1000265
N1,69.638,23.4893886,91.0034722,link,Road to Jhalam (Z1022),0.02200000000000557,,1000266
N1,69.709,23.4896108,91.0043056,link,Ctg 188 km,0.07099999999999795,,1000267
N1,70.443,23.4893052,91.0112778,link,"Ctg 188 km,Comilla 20 km",0.7339999999999947,,1000268
N1,70.527,23.4890552,91.0120278,bridge,Bridge start,0.08400000000000318,A,1000269
N1,70.557,23.4889441,91.01225,bridge,Bridge end,0.030000000000001137,A,1000270
N1,70.755,23.488333,91.0140833,link,Ctg 187 km,0.1979999999999933,,1000271
N1,71.156,23.4868805937254,91.017566692647,bridge,CHANDINA- SHAHA PARA RCC GIDER GRIDGE,15.150000000000006,C,1000272
N1,71.775,23.4846386,91.0229438,link,Km post missing,1.0200000000000102,,1000274
N1,72.775,23.4827771,91.0321382,link,Km post missing,1.0,,1000275
N1,73.688,23.481166,91.0404441,bridge,Box culvert,0.9129999999999967,A,1000276
N1,73.829,23.4814716,91.0419719,link,Ctg 184 km,0.14099999999999113,,1000277
N1,74.279,23.4817873233065,91.0463348850746,bridge,CORI PAI BOX CULVERT,8.100999999999999,B,1000278
N1,74.7,23.4820827,91.0504167,bridge,Box culvert,0.8710000000000093,A,1000279
