road,id,model_type,condition,name,lat,lon,length
N105,1001496,bridge,A,BOGRA-3 BOX CULVERT,23.950303375,90.4122093535714,0.07600000000000051
N207,1001497,link,,Box Culvert,24.4550278,91.7624722,0.021000000000000796
N102,1001498,link,,Km post missing,23.7303327,91.0799438,0.009000000000000341
N104,1001499,link,,Box culvert,22.9001667,91.099333,0.02400000000000091
N105,1001500,link,,Box culvert,23.95075,90.4105278,0.12599999999999767
N208,1001501,link,,Box culvert,24.7470552,91.9215549,0.031999999999996476
N102,1001502,bridge,B,KALAMURIA BOX CULVERT,23.7319009767801,91.0806945739938,0.012000000000000455
N1,1001503,link,,Ctg 214 km,23.5289993,90.7419441,0.0010000000000047748
N2,1001504,link,,Sylhet 189 km,23.9695549,90.7242216,0.0049999999999954525
N2,1001505,link,,Box culvert,23.96983612084367,90.72445595235732,0.03999999999999915
N106,1001506,bridge,A,RANIRAT ARCK,22.574619117161,92.0427147411016,0.04899999999999949
N2,1001507,bridge,A,SAYED NAGOR CULVERT,23.970321226799,90.7248602101737,0.020000000000003126
N102,1001508,link,,Box Culvert,23.7329438,91.0811938,0.014000000000002899
N207,1001509,bridge,A,JOGONATHPUR BOX CULVERT,24.4588000421252,91.7631234060721,0.09399999999999409
N106,1001510,bridge,A,SADAKPARA BOX,22.5756298175757,92.0434282727272,0.020000000000003126
N207,1001511,link,,Box Culvert,24.4596944,91.7632778,0.08100000000000307
N208,1001512,link,,Km post missing,24.7506389,91.9203049,0.08099999999999596
N2,1001513,link,,Box culvert,23.9723882,90.7265827,0.003999999999997783
N105,1001514,bridge,A,NOWZAR,23.9520916858156,90.4049331287234,0.06099999999999994
N2,1001515,bridge,B,SAYED NAGOR CULVERT,23.972844874473,90.7269674786885,0.0040000000000048885
N208,1001516,bridge,B,Kutalpur Bridge,24.7514980282296,91.9199961492823,0.031999999999996476
N105,1001518,link,,"Gazipur 9 km, Tangail 67 km, Bangabandhu Bridge 90 km",23.9522222,90.4043889,0.014000000000002899
N104,1001519,link,,"Maijdee 3 km,Sonapur 8 km",22.8939441,91.0983052,0.01999999999999602
N208,1001520,link,,Box culvert,24.7524167,91.919666,0.07400000000000517
N105,1001521,link,,Box culvert,23.95225,90.4038889,0.03999999999999915
N207,1001522,link,,Sylhet 64 km,24.4626389,91.7640278,0.0009999999999976694
N102,1001523,link,,BBaria 30 km Sylhet208 km,23.7388052,91.0839997,0.16400000000000148
