road,id,model_type,condition,name,lat,lon,length
N1,1001680,bridge,A,KUTUNG PALANG SLAB,21.2149359632653,92.1655512030612,0.06700000000000728
N1,1001681,bridge,A,KOSUKONA,21.2144308612244,92.1664067448979,0.09899999999998954
N1,1001682,link,,Box culvert,21.2142778,92.166666,0.029999999999972715
N1,1001683,link,,Teknaf 47km,21.21375,92.1674438,0.10600000000005139
N1,1001684,link,,Box culvert,21.2127222,92.1678882,0.1279999999999859
N1,1001685,link,,Box culvert,21.2105833,92.1681382,0.24399999999997135
N1,1001686,link,,Box culvert,21.2096944,92.168416,0.10000000000002274
N1,1001687,bridge,A,BALAKHALI TV CENTER,21.2063047283582,92.1700180179104,0.4479999999999791
N1,1001688,link,,Teknaf 46 km,21.2056389,92.1703327,0.08800000000002228
N1,1001689,bridge,A,BALUKHALI-2 SLAB,21.2043409872865,92.1703567258064,0.1519999999999868
N1,1001690,bridge,A,BALUKHALI KASTOM,21.2019671732447,92.1704006677419,0.27800000000002
N1,1001691,link,,Box culvert,21.2011389,92.170416,0.09699999999997999
N1,1001692,link,,Box culvert,21.1989997,92.1703604,0.24799999999999045
N1,1001693,link,,"Z1504, Ukhia Gundum Road",21.1977219,92.1705549,0.125
N1,1001694,bridge,A,BALUKHALI OLD BUS STAND,21.197632418584,92.1705772646017,0.013000000000033651
N1,1001695,bridge,C,Balukali Old bus Stand Bridge,21.197632418584,92.1705772646017,0.0
N1,1001696,link,,Info.Missing,21.1969441,92.1707493,0.0999999999999659
N1,1001697,link,,Box culvert,21.1965552,92.1708604,0.047000000000025466
N1,1001698,bridge,A,BAKUHHALI KASHAMIA,21.1953155305785,92.1705074661157,0.14999999999997726
N1,1001699,link,,Bridge start,21.1925552,92.1697216,0.3340000000000032
N1,1001700,link,,Bridge end,21.1923052,92.1695271,0.04200000000003001
N1,1001701,bridge,A,Batukhali Bridge,21.1907730988505,92.1680703199233,0.23599999999999
N1,1001702,bridge,B,BALUKHALI,21.1907730988505,92.1680703199233,0.0
N1,1001703,link,,Box culvert,21.1906108,92.167916,0.024999999999977263
N1,1001704,link,,Info.Missing,21.1897497,92.166666,0.17300000000000182
N1,1001705,bridge,D,Balukhali Boro Bridge,21.1888919350109,92.1658773557987,0.1260000000000332
N1,1001706,bridge,D,BALUKHAKI,21.1888919350109,92.1658773557987,0.0
N1,1001707,link,,Box culvert,21.1866386,92.1638056,0.33099999999996044
N1,1001708,link,,Bridge start,21.1859441,92.1610833,0.313000000000045
N1,1001709,link,,Bridge end,21.185833,92.1609167,0.022999999999967713
N1,1001710,link,,Info.Missing,21.1843052,92.1594167,0.2330000000000041
N1,1001711,bridge,A,GOGU GONA,21.1839744314735,92.1593026449213,0.04099999999999682
N1,1001712,bridge,C,THANGKHALI BOX CULVERT,21.1797067107296,92.1578310562231,0.5289999999999964
N1,1001713,link,,Box culvert,21.178666,92.1574722,0.1290000000000191
N1,1001714,bridge,B,THANG KHALI BOX CULVERT,21.177417156701,92.1570372113402,0.14699999999999136
N1,1001715,link,,Info.Missing,21.1761938,92.1566111,0.14400000000000546
N1,1001716,bridge,C,THANG KHALI BRIDGE,21.1754208098765,92.1562526135802,0.09800000000001319
N1,1001717,bridge,D,Thang Khali Bridge,21.1754208098765,92.1562526135802,0.0
N1,1001718,link,,Box culvert,21.1742771,92.1557222,0.1449999999999818
N1,1001719,bridge,A,Changkhali Bridge,21.1724828063829,92.1552940329787,0.20699999999999363
N1,1001720,bridge,C,CHANG KHALI BRIDGE,21.1724828063829,92.1552940329787,0.0
N1,1001721,link,,Box culvert,21.1718327,92.1551389,0.07499999999998863
N1,1001722,bridge,A,Changkhali Boro Bridge,21.1703723502057,92.1547387765432,0.17500000000001137
N1,1001723,bridge,B,CHANG KHALI BRIDGE,21.1703723502057,92.1547387765432,0.0
N1,1001724,link,,Bridge start,21.1698049,92.1545833,0.06799999999998363
N1,1001725,link,,Bridge end,21.1694993,92.1543056,0.04800000000000182
N1,1001726,bridge,B,JAM TOLI BRIDGE,21.1688213638709,92.153662396129,0.09700000000003683
N1,1001727,bridge,C,Jam Toli Bridge,21.1688213638709,92.153662396129,0.0
N1,1001728,link,,Box culvert,21.168416,92.1532778,0.057999999999992724
N1,1001729,bridge,A,JAM TOLI BOX CULVERT,21.168232930909,92.1531459818181,0.028999999999996362
N1,1001730,link,,Info.Missing,21.1677216,92.1527778,0.08100000000001728
N1,1001731,link,,Box culvert,21.1673327,92.1524167,0.06499999999999773
N1,1001732,bridge,B,DAIM PARA BRIDGE,21.1666653482213,92.1523376486166,0.07999999999998408
N1,1001733,bridge,C,DAIM PARA CULVERT,21.1655725596837,92.1522082019762,0.1309999999999718
N1,1001734,link,,Bridge start,21.1652222,92.1521667,0.04200000000003001
N1,1001735,bridge,A,DAIM PARA CULVERT,21.16498780625,92.152190071875,0.026999999999986812
N1,1001736,link,,Bridge end,21.1649444,92.1521944,0.0049999999999954525
N1,1001737,link,,Box culvert,21.16325,92.1522222,0.19499999999999318
N1,1001738,link,,Box Culvert,21.1624722,92.1522778,0.08899999999999864
N1,1001739,bridge,C,DAIM PARA CULVERT,21.1619757444915,92.1523314669491,0.05700000000001637
N1,1001740,link,,Box culvert,21.1604167,92.1525,0.17899999999997362
N1,1001741,bridge,A,DAIM PARA CULVERT,21.1602045009259,92.1525257175926,0.025000000000034106
N1,1001742,link,,Info.Missing,21.1595,92.1526111,0.08299999999996999
N1,1001743,link,,Box culvert,21.1593056,92.1526111,0.021000000000015007
N1,1001744,link,,Box culvert,21.1586667,92.1525,0.07300000000003593
N1,1001745,bridge,C,PALONG KHALI CULVERT,21.1584534746478,92.1525195633802,0.024999999999977263
N1,1001746,link,,Box culvert,21.1556389,92.1527778,0.3299999999999841
N1,1001747,link,,Box culvert,21.1537778,92.1528611,0.21699999999998454
